Time (UTC+0),Elevation (in ° normal),Azimuth (in ° N)
2021-12-22T10:49:23,0.0,284.32
2021-12-22T10:49:25,0.08,284.26
2021-12-22T10:49:40,1.0,283.51
2021-12-22T10:49:55,1.96,282.69
2021-12-22T10:50:10,2.96,281.78
2021-12-22T10:50:25,4.01,280.78
2021-12-22T10:50:40,5.12,279.66
2021-12-22T10:50:55,6.29,278.41
2021-12-22T10:51:10,7.54,277.01
2021-12-22T10:51:25,8.87,275.42
2021-12-22T10:51:40,10.28,273.61
2021-12-22T10:51:55,11.81,271.54
2021-12-22T10:52:10,13.44,269.16
2021-12-22T10:52:25,15.2,266.41
2021-12-22T10:52:40,17.08,263.19
2021-12-22T10:52:55,19.09,259.41
2021-12-22T10:53:10,21.2,254.96
2021-12-22T10:53:25,23.37,249.71
2021-12-22T10:53:40,25.51,243.55
2021-12-22T10:53:55,27.47,236.4
2021-12-22T10:54:10,29.08,228.28
2021-12-22T10:54:25,30.13,219.36
2021-12-22T10:54:38,30.46,210.76
2021-12-22T10:54:40,30.46,210.01
2021-12-22T10:54:55,30.01,200.7
2021-12-22T10:55:10,28.86,191.91
2021-12-22T10:55:25,27.18,183.94
2021-12-22T10:55:40,25.19,176.97
2021-12-22T10:55:55,23.05,170.97
2021-12-22T10:56:10,20.89,165.87
2021-12-22T10:56:25,18.8,161.55
2021-12-22T10:56:40,16.82,157.87
2021-12-22T10:56:55,14.96,154.74
2021-12-22T10:57:10,13.23,152.05
2021-12-22T10:57:25,11.62,149.72
2021-12-22T10:57:40,10.12,147.7
2021-12-22T10:57:55,8.72,145.93
2021-12-22T10:58:10,7.41,144.37
2021-12-22T10:58:25,6.18,142.98
2021-12-22T10:58:40,5.02,141.75
2021-12-22T10:58:55,3.92,140.65
2021-12-22T10:59:10,2.88,139.65
2021-12-22T10:59:25,1.89,138.75
2021-12-22T10:59:40,0.94,137.94
2021-12-22T10:59:55,0.02,137.19
2021-12-22T10:59:55,-0.0,137.17
